Date,buy_hold_spy,trend_following_spy,vix_overlay_spy_30,vix_overlay_spy_25,sixty_forty,dual_momentum,sector_momentum_top3_monthly,sector_rotation_5d_live,sector_rotation_5d_trend_filter,sector_rotation_5d_vix_filter,sector_rotation_monthly_match_live,buy_hold_btc,btc_stress_overlay
2020-04-28,176776.4449380761,140546.69207105532,160426.3137897508,177270.70512561366,193449.45392193706,102197.53387325199,160225.42214678353,107201.95868011724,98942.3300669505,103551.62184708312,104488.81764403183,1707080.238845514,6197549.649721909
2020-04-29,181404.23143656566,140546.69207105532,160408.76806746612,177251.31714313207,196086.5165555594,102186.35659500406,162546.12398599673,108002.91697704901,98942.3300669505,103551.62184708312,104471.34793248057,1924422.3695026818,6197549.649721909
2020-04-30,179715.2101366336,140546.69207105532,160443.8121764538,177290.04080238714,194075.14907930742,102208.6809969723,161718.34312173253,107781.60561799562,98942.3300669505,103551.62184708312,104414.23461986521,1893266.9403502129,6197549.649721909
2020-05-01,174957.5321018901,140546.69207105532,160415.72639797654,177259.00608222777,191657.24111676973,102190.78931056822,157195.45580097372,107228.33967254264,98942.3300669505,103551.62184708312,103913.55471928048,1938357.1553593536,6197549.649721909
2020-05-02,,,,,,,,,,,,1965433.6627024794,
2020-05-03,,,,,,,,,,,,1945507.7602504378,
2020-05-04,175440.10668194803,140546.69207105532,160415.72639797654,177259.00608222777,191613.81665330916,102190.78931056822,158148.95087016042,107547.43489212563,98942.3300669505,103551.62184708312,104021.0349624435,1948828.2101580545,6197549.649721909
2020-05-05,177060.99859766845,140546.69207105532,160415.72639797654,177259.00608222777,192185.37214933484,102190.78931056822,160209.10923882906,107555.15399882614,98942.3300669505,103551.62184708312,104376.74693868872,1968598.4465018865,6197549.649721909
2020-05-06,175860.75479429474,140546.69207105532,160433.2721202612,177278.39406470934,190163.33124167827,102201.96658881615,160085.66328474382,107277.61139110828,98942.3300669505,103551.62184708312,104338.83303676882,2026694.148461079,6197549.649721909
2020-05-07,177982.850579033,140546.69207105532,160415.7263979765,177259.00608222774,192810.89554009962,102190.78931056822,161719.21124335096,107615.07347537103,98942.3300669505,103551.62184708312,104466.60035499986,2175984.779313864,6197549.649721909
